server_status,server_id,server_name
SHUTOFF,d88ba81d-f555-486d-b7d1-b646b4639f26,k8s-jhub-dev-head-01
SHUTOFF,d3969445-f5ab-4701-bcf1-f254a696dbd4,k8s-dev-worker-02
SHUTOFF,e14353a5-96fd-4685-83bd-8b19419b1155,k8s-dev-worker-01
SHUTOFF,3c04092c-2e60-4ce3-b6c3-fa4f081fa4c2,k8s-dev-head-01
SHUTOFF,93f1953f-b07a-47da-9e25-27f0ae92c1ad,k0s-staging-queue-worker-1
SHUTOFF,b25c47ff-5875-4d7c-8e1a-53478861367e,k0s-staging-controller-1
SHUTOFF,0780cc7c-5221-48ac-af89-3438deec862c,k0s-queue-worker-2
SHUTOFF,12b9cd84-68e8-4202-9659-58f438cee14e,k0s-queue-worker-1
SHUTOFF,228f97da-4104-4928-af85-8fb4b947c3a2,k0s-controller-2
SHUTOFF,8f3c39c6-00a2-4408-87af-61f5fd172d17,k0s-controller-1
SHUTOFF,3f5cc593-534f-44f4-9149-b3a41c548d88,k0s-ci-cd-worker-1
SHUTOFF,ea954c3d-19a6-4330-bb21-93581b0f5a98,jyothish-testv100
SHUTOFF,95438b5c-fe06-45e1-8873-fea8688e2bd6,joshua-kitenge-Horace
SHUTOFF,1bd08a07-8dc2-4b37-a2bf-b724baa92522,james_production
SHUTOFF,46c36546-a016-43f5-a4e3-47debf8b4d15,jaehooncha-58A9hf
SHUTOFF,2305f7df-d3f6-4a67-bbaf-c786c69ae883,jaehooncha-55JC3n
SHUTOFF,ce154e8c-1753-49f0-9f1e-1f97a4a75fb3,isis-icat-gh-actions-runner
SHUTOFF,3a0c2572-39e7-47a8-8ce7-016040be6ac4,isis-icat-gh-actions-runner
SHUTOFF,0dc7188e-e5e9-4c7d-a279-e62e13d7899f,invenio-dev07
SHUTOFF,783962dc-50d9-4a81-99fd-8199049b1f57,invenio-dev06
SHUTOFF,4d72f7f0-9d87-42dc-a27f-36a5d7838e8f,infraportal rebuild prod
SHUTOFF,b3c3d569-6151-4961-bae5-b16a5bde0a3d,htcondor-test-cm01
SHUTOFF,68a9c016-7d5b-4e97-ac37-659096be953d,github actions runner-6
SHUTOFF,e91d2953-b32e-49f9-9e08-2458e63b8062,github actions runner-5
SHUTOFF,a5ef6542-c522-483e-aaec-40e34c7edfa7,github actions runner-4
SHUTOFF,bfc50776-7a19-449c-8d1e-8a55b8e589bd,github actions runner-3
SHUTOFF,162b095d-427b-4363-a686-8e05944a7822,github actions runner-2
SHUTOFF,79695e49-3631-4dde-afac-f88c005024e8,galaxy-training-dev-2
SHUTOFF,f3579623-61d0-4cde-94b4-a3b185d3726e,fair4fusion-uda
SHUTOFF,b0a10416-40a5-4e54-af03-cf4a5b91f7f2,example-stack-test_instance-nlrkdqpgywv6
SHUTOFF,c32936d8-599e-4cb1-8134-f34f0aa7eb0e,euclid-ral-proxy-0
SHUTOFF,1416a978-a4b5-4a55-8e19-c1191034b8bc,euclid-ral-ial-0
SHUTOFF,703ec42d-6aab-4092-bf01-3aa012d8d10f,esdg_tools_1
SHUTOFF,2b88d7cd-175f-4f9b-a91a-604ef4958075,escape-datalake-monitoring-worker-2
SHUTOFF,adafc4d8-e86e-42ef-be8b-c333fb672a4b,escape-datalake-monitoring-worker-1
